qscode,date,close,high,low,open,vol
000300.SH,2013-09-17,2427.322,2481.71,2426.462,2480.81,9945998200.0
000300.SH,2013-09-18,2432.51,2439.626,2407.243,2426.04,7104075900.0
000300.SH,2013-09-23,2472.288,2473.163,2439.993,2441.516,8012835200.0
000300.SH,2013-09-24,2443.885,2470.746,2420.085,2470.715,9785301300.0
000300.SH,2013-09-25,2429.03,2455.037,2423.276,2440.835,9051841800.0
000300.SH,2013-09-26,2384.443,2422.631,2382.535,2422.631,8623677000.0
000300.SH,2013-09-27,2394.971,2402.196,2379.856,2382.218,6597150800.0
000300.SH,2013-09-30,2409.037,2415.075,2397.22,2406.205,5951399200.0
000300.SH,2013-10-08,2441.811,2446.703,2392.572,2406.415,8478550600.0
000300.SH,2013-10-09,2453.583,2453.746,2424.769,2432.94,7627764500.0
000300.SH,2013-10-10,2429.317,2455.979,2422.017,2455.64,9032970600.0
000300.SH,2013-10-11,2468.508,2471.165,2439.634,2442.364,9338826100.0
000300.SH,2013-10-14,2472.542,2483.131,2462.551,2472.267,10008130100.0
000300.SH,2013-10-15,2467.517,2479.134,2449.416,2475.324,8917349600.0
000300.SH,2013-10-16,2421.371,2459.077,2409.718,2459.077,8897983400.0
000300.SH,2013-10-17,2413.33,2440.919,2407.777,2432.645,7122247400.0
000300.SH,2013-10-18,2426.054,2435.712,2410.599,2415.118,6029163000.0
000300.SH,2013-10-21,2471.322,2472.785,2423.562,2431.915,8490979500.0
000300.SH,2013-10-22,2445.891,2470.255,2439.859,2470.255,9070302900.0
000300.SH,2013-10-23,2418.491,2474.372,2412.483,2451.556,9154535500.0
000300.SH,2013-10-24,2400.511,2422.943,2395.474,2412.235,6456082100.0
000300.SH,2013-10-25,2368.559,2413.332,2353.993,2400.517,7707018200.0
000300.SH,2013-10-28,2365.954,2377.249,2351.862,2372.571,6287615200.0
000300.SH,2013-10-29,2372.053,2408.616,2327.904,2369.216,10673783300.0
000300.SH,2013-10-30,2407.471,2407.851,2365.506,2371.853,9217812600.0
000300.SH,2013-10-31,2373.718,2398.395,2370.226,2398.395,8273696400.0
000300.SH,2013-11-01,2384.96,2395.005,2365.146,2373.962,6305576200.0
000300.SH,2013-11-04,2380.454,2404.896,2376.355,2397.21,5179846100.0
000300.SH,2013-11-05,2383.769,2385.688,2343.801,2366.884,6208448800.0
000300.SH,2013-11-06,2353.568,2383.54,2352.787,2371.324,6377666300.0
000300.SH,2013-11-07,2340.552,2356.672,2328.253,2351.871,5482174700.0
000300.SH,2013-11-08,2307.945,2342.672,2306.041,2329.084,5378850800.0
000300.SH,2013-11-11,2315.889,2325.228,2295.003,2305.94,4573945700.0
000300.SH,2013-11-12,2340.0,2342.529,2316.603,2319.362,5268754500.0
000300.SH,2013-11-13,2288.116,2325.563,2287.547,2325.36,5984883100.0
000300.SH,2013-11-14,2304.501,2305.696,2279.006,2291.269,5731035600.0
000300.SH,2013-11-15,2350.734,2377.211,2306.549,2306.549,8639177100.0
000300.SH,2013-11-18,2428.903,2429.566,2361.038,2367.883,11003463300.0
000300.SH,2013-11-19,2412.163,2427.928,2405.076,2427.928,7864829600.0
000300.SH,2013-11-20,2424.85,2435.427,2406.417,2428.767,7229180100.0
000300.SH,2013-11-21,2409.989,2415.383,2382.878,2412.451,8770667700.0
000300.SH,2013-11-22,2397.962,2418.999,2393.581,2415.29,7500067500.0
000300.SH,2013-11-25,2388.629,2418.853,2380.689,2385.784,6614473400.0
000300.SH,2013-11-26,2387.416,2399.022,2380.412,2387.826,5918586400.0
